label,cleaned_text
Psoriasis,trouble sleep itching pain produce rash nail little dent alarming noticeable inflammation nail
Psoriasis,dry flaky area skin prone infections joint excruciate agony skin knee elbow begin flake
Psoriasis,skin break rash scratch rub rash frequently bleed addition observe little dent nail noticeable inflammation nail
Psoriasis,observe skin sensitive skin silvery film especially elbow
Psoriasis,palm sol grow develop severe fissure crack unpleasant frequently blee skin start peel
Psoriasis,nail start small pit worried know cause joint pain rash arm
Psoriasis,silver like dusting skin skin arm start peel strange concern
Psoriasis,skin rash extend area body include chest belly irritate unpleasant frequently worst night experience skin flaking
Psoriasis,skin rash bad winter air dry skin moisturize moisturize regularly use humidifier face joint pain
Psoriasis,trouble sleep itching pain produce rash nail little dent experience skin peeling different body
Psoriasis,skin peel place especially knee elbow arm peeling accompany painful burn sensation develop small dent nail concern
Psoriasis,skin silvery layer especially arm dusting small scale peel readily rub rash body
Psoriasis,arm face red irritated frequently irritating unpleasant nail strange inflammation develop small dent like
Psoriasis,trouble sleep itching pain produce rash nail little dent alarm joint pain everyday idea cause
Psoriasis,finger sol pretty thick skin crack severely fracture hurt bleed frequently fracture itchy cover scale
Psoriasis,skin change sensitive sensitive skin silvery coating especially elbow knee
Psoriasis,nail slightly dented joint experience excruciate discomfort skin silverlike powder especially elbow
Psoriasis,trouble fall asleep rashs pain itch skin finger start peel nail tiny crack worrying
Psoriasis,joint experience unusual discomfort additionally experience weird skin peeling place body concerned wrong body
Psoriasis,start rash arm neck rash bleed hurt scratch develop small dent nail strange
Psoriasis,dry flaky area skin prone infections joint extreme pain knee elbow skin start peel
Varicose Veins,rash leg cause lot discomfort cramp prominent vein calf feel tired fatigue past couple day
Varicose Veins,calf cramp walk stand long period time bruise mark calf worried feel tired soon
Varicose Veins,bruise leg explain strange blood vessel skin slightly obese worried
Varicose Veins,overweight notice leg swollen blood vessel visible leg swell stream swollen vein calf
Varicose Veins,vein calf prominent cause discomfort stand long period time cause pain leg similar cramp
Varicose Veins,skin vein leg red inflamed believe swollen blood vessel worried
Varicose Veins,stand walk long period time cause lot pain leg cramp physical activity bruise mark leg
Varicose Veins,cramp calf difficult walk feel fatigue work time believe obesity reason
Varicose Veins,swelling leg bad past week large number vein noticeable calf worried
Varicose Veins,vein leg noticeable cause discomfort like major bruise cramp run
Varicose Veins,skin calf inflamed red leg hurt try run physical activity
Varicose Veins,recently pain calf constant bad stand walk long period time leg start swell blood vessel noticeable
Varicose Veins,vein leg cause discomfort difficulty sleep night idea happen cramp sprint
Varicose Veins,swelling leg cause difficulty fit shoe sprint stand long period time swollen blood vessel
Varicose Veins,notice cramp calf frequent intense cause lot discomfort overweight leg start swell
Varicose Veins,vein leg cause lot discomfort sit long period time
Varicose Veins,rash leg spread severe difficult run
Varicose Veins,leg cause lot discomfort exercise frequent cramp blood vessel noticeable
Varicose Veins,prominent blood vessel calf cause selfconsciousness embarrassment believe problem overweight
Varicose Veins,skin vein leg dry flaky major bruise leg start swell
Varicose Veins,experience rash leg cause lot irritation discomfort red inflamed appear spread
Varicose Veins,recently calf cramp frequently especially walk stand long period time vein noticeable
Varicose Veins,notice bruise leg explain painful concern
Varicose Veins,overweight notice leg swollen blood vessel visible usual swelling bad time
Varicose Veins,vein calf prominent cause lot discomfort swollen protrude skin
Varicose Veins,skin vein leg red inflamed itchy cause lot discomfort start regular cramp
Varicose Veins,stand walk long period time cause lot pain leg feel like cramp bad long foot
Varicose Veins,cramp calf difficult walk daily activity come suddenly minute
Varicose Veins,swelling leg bad past week cause difficulty fitting shoe cause discomfort sit long period time
Varicose Veins,vein leg noticeable cause lot discomfort swollen protrude skin visible clothing
Varicose Veins,skin calf itchy inflamed cause lot discomfort difficulty sleep night blood vessel start protrude concern
Varicose Veins,pain calf constant bad stand walk long period time constant cramp run long period time
Varicose Veins,vein leg cause discomfort difficulty sleep night swollen protrude skin noticeable painful
Varicose Veins,swelling leg cause difficulty fit shoe cause discomfort sit long period time
Varicose Veins,cramp calf frequent intense difficult walk daily activity
Varicose Veins,vein leg cause lot discomfort sit long period time swollen protrude skin painful noticeable
Varicose Veins,rash leg spread severe red inflame itchy cause lot discomfort difficulty sleep night
Varicose Veins,leg cause lot discomfort exercise feel heavy swollen vein prominent painful feel fatigue time
Varicose Veins,prominent vein calf cause selfconsciousness embarrassment swollen protrude skin noticeable
Varicose Veins,skin vein leg dry flaky cause discomfort irritation start frequent cramp
Varicose Veins,rash leg lot pain appear cramp visible vein calf
Varicose Veins,vein leg visible swollen normal visible skin hurt
Varicose Veins,walk tough cramp calf obesity believe cause work exhausted
Varicose Veins,blood vessel leg visible lot pain large protrude skin unusual worried
Varicose Veins,notice blood vessel leg noticeable usual little concern experience cramp day
Varicose Veins,leg swelling bad couple day blood vessel protrude skin unusual
Varicose Veins,long duration standing walking cause severe discomfort leg burn ache bad long foot
Varicose Veins,leg skin vein unusual appear large bruise nowadays frequent cramp sprint run
Varicose Veins,experience cramp couple day think right believe small bruise calf sure
Varicose Veins,vein calf protrude unusually worried overweight believe reason
Typhoid,constipation belly pain uncomfortable belly pain bad start affect daily life chill night follow mild fever
Typhoid,diarrhea unpleasant come accompany abdominal cramp bloat
Typhoid,experience chill fever severe abdominal pain feel miserable overall shake symptom
Typhoid,lot trouble hydrated vomiting diarrhea mild fever constipation headache
Typhoid,lose lot weight past week able eat nausea vomiting follow mild fever headache belly pain concerned health
Typhoid,fatigue uncomfortable lot difficulty usual activity feel depressed irritable mild pain abdominal
Typhoid,persistent headache past week bad accompany belly ache constipation diarrhea
Typhoid,experience high fever especially night uncomfortable mild headache constipation diarrhea
Typhoid,lot difficulty breathing feel like constantly nauseous mild belly pain terrifying time
Typhoid,diarrhea watery foulsmelle accompany abdominal pain feel like vomiting time
Typhoid,lot trouble sleep high fever headache chill wake day terrible pain belly area
Typhoid,experience diarrhea constipation worry feel like sharp stab pain belly area feel tired time
Typhoid,constipation belly pain uncomfortable pain bad affect daily life
Typhoid,experience lot belly pain constipation annoying feel strong urge vomit feel weak
Typhoid,abdominal pain come unpleasant accompany constipation vomiting feel concerned health
Typhoid,experience lot bloat constipation uncomfortable feel like lot pressure pain belly area
Typhoid,experience extreme belly pain constipation night severe fever chill headache couple day uncomfortable
Typhoid,feel exhausted weak rid vomiting nausea entirely lose appetite belly pain cause concern
Typhoid,experience constipation stomach ache difficult discomfort bad seriously interfere everyday life
Typhoid,vomiting diarrhea lot difficulty stay hydrated high fever constipation headache
Typhoid,abdominal pain frequent painful constipation vomiting occur worried health
Typhoid,severe stomach pain constipation night headache chill day painful
Typhoid,distinct pain abdominal sure constant vomiting feel nauseous
Typhoid,diarrhea fluid smelly accompany severe abdominal pain headache time feel like vomiting
Typhoid,fever couple day start experience severe pain stomach area suffer constipation
Typhoid,experience lot nausea vomiting difficult eat entirely lose appetite result weak
Typhoid,lot trouble sleep high fever headache constant belly pain work
Typhoid,feel fatigue weak rid mild fever strange pain abdominal area understand happen
Typhoid,suffer constipation stomach discomfort uncomfortable night mild fever
Typhoid,suffer diarrhea uncomfortable come accompany stomach ache vomiting
Typhoid,experience chill fever extreme stomach discomfort generally unhappy rid symptom
Typhoid,vomiting diarrhea lot difficulty stay hydrated mild fever stomach pain
Typhoid,develop diarrhea accompany severe pain belly area feel like eat time mild headache
Typhoid,lot bloat constipation painful lot pressure pain stomach area high fever chill night
Typhoid,persistent stomach pain past week heal medication feel like vomiting eat extremely weak
Typhoid,severe stomach discomfort diarrhoea high fever headache previous day unpleasant
Typhoid,terrible pain abdominal feel nauseate experience mild fever worried
Typhoid,experience constipation stomach ache discomfort bad seriously interfere everyday life feel like lose appetite eat
Typhoid,time feel fatigued want eat high fever chill night vomiting yesterday
Typhoid,lose appetite notice significant weight loss abdominal pain especially area stomach intestine concerned health
Typhoid,stomach discomfort severe frequent vomiting constipation happen concerned health
Typhoid,experience diarrhea loose watery stool time day lose appetite feel nauseate time start mild fever
Typhoid,feel weak lot stomach discomfort constipation bother strong urge vomit time result eat
Typhoid,strange pain stomach area know reason start mild fever chill headache
Typhoid,high fever particularly night unpleasant little headache constipation diarrhea feel like eat
Typhoid,lot trouble stay hydrated vomiting diarrhea high fever constipation headache start strange pain stomach area physical
Typhoid,headache past week grow bad accompany stomach pain constipation diarrhea know happen worried
Typhoid,lose lot weight week eat nausea vomiting follow high fever headache stomach pain
Typhoid,diarrhea constipation concern stomach severe painful ache constantly exhaust feel like eat
Typhoid,diarrhoea loose watery stool time day lose appetite sick develop mild fever abdominal pain lot know reason
Chicken pox,experience intense itching skin drive crazy rash red inflamed
Chicken pox,feeling fatigue energy barely eye open day feel lethargic unable motivate
Chicken pox,high fever past day know cause notice rash skin hard resist scratching
Chicken pox,lose appetite eat worried health
Chicken pox,small red spot body explain worry feel extremely tired experience mild fever night
Chicken pox,lymph node swollen cause discomfort neck armpit know cause
Chicken pox,feel sick uncomfortable like wrong inside know notice small red spot arm itch touch
Chicken pox,itching hard sleep night rest lose appetite feel lethargic
Chicken pox,worried rash skin spreading rapidly cause lot discomfort hardly sleep night itching
Chicken pox,energy lose appetite feeling sick know wrong
Chicken pox,skin rash red inflamed spreading body experience intense itching especially arm leg
Chicken pox,high fever past day starting worry know cause red spot arm leg swollen
Chicken pox,skin rash red swollen spreading body mild fever cause lot discomfort
Chicken pox,feeling fatigue energy barely eye open day feel lethargic unable motivate
Chicken pox,small red spot body explain bump itchy uncomfortable spread rapidly worry
Chicken pox,itching hard sleep night rest rash itchy uncomfortable feel tired exhaust
Chicken pox,energy lose appetite high fever severe headache know wrong
Chicken pox,high fever swollen lymph node cause discomfort headache feel weak fatigue hard concentrate fever
Chicken pox,rash skin cause lot discomfort red inflamed spreading body rash accompany intense itching especially arm leg
Chicken pox,red spot body explain spot itchy start swell spread rapidly
Chicken pox,small lymph node arm face itching day uncomfortable
Chicken pox,energy lose appetite feeling sick know wrong small red spot start skin
Chicken pox,mild fever past day starting worry fever accompany severe headache feel weak lethargic
Chicken pox,swollen lymph node red spot body cause discomfort mild fever feel tired time
Chicken pox,suffer severe itching body drive insane red irritating rash
Chicken pox,rash skin difficult scratch high fever day sure cause
Chicken pox,little red spot body understand worry lose appetite night exhausted severe headache
Chicken pox,feel sick lose appetite little red patch arm neck face itch touch
Chicken pox,red spot arm leg itch difficult sleep night severe headache mild fever
Chicken pox,enlarged lymph node great deal pain rash body sleep night
Chicken pox,skin rash lot pain discomfort red swollen spreading body
Chicken pox,high fever mild headache tired time completely lose appetite
Chicken pox,arm face small lymph node start swell day miserable constant itching pain
Chicken pox,arm neck large lymph node itch touch itching day extremely uncomfortable
Chicken pox,skin rash cause great deal pain small red spot develop near neck yesterday severe fever headache fatigue
Chicken pox,start develop tiny red spot face neck area itch touch itching day uncomfortable
Chicken pox,lose appetite completely eat feel like vomiting feel exhausted notice rash skin concern
Chicken pox,high fever severe headache eat feel like vomiting red spot develop arm worried
Chicken pox,worried red spot skin spreading rapidly cause lot problem develop mild fever headache night
Chicken pox,feel nauseous uneasy sure rash arm leg lose appetite feel exhausted day
Chicken pox,swollen red lymph node arm leg itch touch suffer terrible headache mild fever feel like eat lose appetite
Chicken pox,exhausted lack energy hardly eye open day mild fever feel like eat think lose appetite
Chicken pox,exhausted lose appetite feel vomiting eat addition little red spot begin appear skin near neck worried health
Chicken pox,small red spot body spot itchy uncomfortable mild fever headache
Chicken pox,suffer severe itching body fever headache red spot start swell uncomfortable day
Chicken pox,feel tired day red spot arm itch touch worried sure
Chicken pox,high fever swollen lymph node headache cause lot trouble feel like eat feel weak fatigue hard concentrate daily life
Chicken pox,high fever red spot rash body feel exhausted completely lose appetite weak lethargic worried
Chicken pox,rash arm neck itch scratch high fever day idea cause itching cause lot discomfort
Chicken pox,red swollen spot body itch touch high fever headache feel exhausted
Impetigo,develop skin rash face neck rash red sore blister worried health
Impetigo,develop skin rash blistering sore blistering sore raise fluidfilled lesion painful touch suffer high fever
Impetigo,high fever red sore develop near nose sore painful yellow rustcolore ooze come
Impetigo,rash nose large red sore notice rash spread body high fever night
Impetigo,suffer high fever couple day sore develop near nose sore painful feel uncomfortable day
Impetigo,skin develop rash mainly near nose rash spread body worried
Impetigo,experience extreme fatigue high fever rash near nose mouth rash itchy difficult sleep
Impetigo,suffer extreme fever weakness develop sore face sore itchy uncomfortable yellow colored ooze come sore
Impetigo,notice sore long heal prone infection sore face swollen tender touch uncomfortable handle
Impetigo,red sore face near nose notice rash spread quickly neck chest
Impetigo,sore nose crust difficult touch yellowrust colour ooze come sore time handle
Impetigo,develop minor rash near nose day ago rash accompany burn sensation redness skin feel kind infection
Impetigo,initially develop small red sore near nose neck high fever sore painful inflame past day
Impetigo,notice skin rash face blistering sore today observe yellow colored fluid come sore sure
Impetigo,sore face begin weep clear fluid night high fever chill sleep night
Impetigo,initially rash face near nose rash spread arm leg
Impetigo,high fever night develop sore face particularly near nose notice sore long heal prone infection
Impetigo,sore nose surround red inflamed skin rash cause skin dry flaky visible yellow colored fluid come sore
Impetigo,experience flulike symptom fever body pain notice red rash blistering sore near nose lip itchy uncomfortable
Impetigo,suffer mild fever headache small sore near nose rash neck tough time right
Impetigo,rash particularly bad nose large red sore painful yellow rustcolore ooze come
Impetigo,sore face near nose lip sore cause discomfort pain discharge yellow rustcolore fluid
Impetigo,develop sore face nose area sure cause sore face swollen tender touch burn sensation redness skin
Impetigo,rash face painful inflame past day sore begin weep clear fluid extremely painful day
Impetigo,rash face start small sore nose yellow fluid come sore sore extremely painful
Impetigo,feel sick high fever headache notice rash arm face extremely worried today observe red sore near nose
Impetigo,suffer high fever past day sore form nose rash different body sore severe feeling uneasy day
Impetigo,high fever weak face sore blister itchy painful yellow ooze frequently leak wound
Impetigo,experience skin rash burn sore blistering sore fluidfilled elevated red colored lesion unpleasant touch high fever
Impetigo,believe skin disease rash face small sore near nose sore red painful kind yellow ooze discharge
Impetigo,notice sore face heal slowly likely infect cheek sore large painful touch extremely difficult handle rid sore
Impetigo,high fever skin rash face neck arm rash burn red lesion concerned health
Impetigo,acquire skin rash blistering sore blistering sore fluidfilled elevated lesion unpleasant touch run high fever
Impetigo,run high temperature near nose red sore form lesion painful yellow rustcolore fluid ooze
Impetigo,rash nose huge red sore rash spread place body addition high temperature night
Impetigo,cheek nose cover red sore observe rash neck chest spread fast develop mild fever
Impetigo,nasal sore crust difficult touch wound leak yellowrust colour fluid lot long deal medication
Impetigo,day ago experience tiny rash nose rash accompany burn feeling skin redness discharge fluid believe sort infection
Impetigo,small red sore appear near nose neck high temperature sore painful inflamed recent day
Impetigo,rash develop nose lip huge red lesion painful emit yellow rustcolore fluid
Impetigo,face cover sore near nose lip lesion cause discomfort suffering yellow rustcolore fluid ooze
Impetigo,start sore face nose idea cause cheek sore large irritate touch burn feeling skin redness
Impetigo,day rash face severe inflamed blister begin bleed clear pus painful deal
Impetigo,feel skin condition face rash little blister nose wound turn red painful yellow liquid ooze
Impetigo,observe lesion face heal slow prone infection lesion cheek huge unpleasant touch incredibly difficult treat sore away
Impetigo,run high temperature develop rash face neck arm rash consist painful red lesion health concern
Impetigo,week rash face severe painful sore begin discharge yellow colored fluid increasingly painful day
Impetigo,rash face develop little sore nose yellow ooze frequently ooze lesion painful
Impetigo,feel ill high fever headache rash appear arm face concerned red sore nose lip today
Impetigo,rash face heal try medication help recently notice small sore near nose painful difficult handle
Dengue,face severe joint pain vomitte develop skin rash cover entire body accompany intense itching
Dengue,experience chill shiver despite warm environment pain time red spot arm
Dengue,experience severe joint pain difficult perform daily activity lose apetite feel weak
Dengue,vomit frequently lose appetite result joint pain time
Dengue,high fever accompany severe headache body pain experince chill night distinct pain eye
Dengue,feel extremely tired fatigue energy develop rash neck itch touch
Dengue,experience severe headache accompany pain eye lose apetite experience chill night
Dengue,feel nauseous constant urge vomit strong pain eye small red spot arm
Dengue,develop red spot body itchy inflamed experience high fever chill shiver
Dengue,experience muscle pain difficult lose apetite feel vomit leg pain lot
Dengue,experience pain bad sit stand long time rash body pain eye
Dengue,skin rash develop accompany redness swelling feel severe fever accompany body pain
Dengue,chill shivering experience accompany feeling coldness high fever develop rash arm red spot neck
Dengue,joint pain experience severe feel like constant ache head ache time start develope mild fever accompany chill
Dengue,vomiting experience accompany stomach cramp dizziness lose apetite feel weak result pain eye
Dengue,high fever experience accompany sweating weakness muscle pain result work day
Dengue,fatigue feel extreme difficult perform basic task feel vomitte develop rash arm neck leg
Dengue,headache experience severe accompany feeling pressure head mild fever headache small red spot
Dengue,nausea feel accompany loss appetite feeling unease distinct pain muscle pain
Dengue,muscle pain experience severe feel like constant ache red spot body itching cause lot discomfort
Dengue,develop skin rash cover entire body accompany intense itch body pain mild fever acompanie headache chill
Dengue,experience extreme body pain headache vomiting develop red spot cover entire body cause severe itching
Dengue,hurt time arm neck rash eye pain lot fever worry health
Dengue,suffer significant joint pain difficult walk carry everyday task lose appetite feel weak feel like vomitte
Dengue,constant eye develop red spot neck face rash arm arm leg pain lot spot itchy uncomfortable worry
Dengue,feel sick feel strong need vomit sharp ache eye swollen red dot
Dengue,shiver shivering accompany sensation coldness high fever rash arm red patch neck appear
Dengue,suffer severe joint ache feel vomiting time develop moderate fever chill fever come medication
Dengue,vomiting follow stomach pain dizziness lose appetite result feel weak arm neck pain time
Dengue,develop red spot arm leg itchy inflamed feel nauseaus constant urge vomit accomapanie mild fever
Dengue,develop skin rash cover entire body rash red swollen bad certain area arm leg lose appetite
Dengue,experience chill shiver strong pain eye notice small red spot neck
Dengue,experience severe joint pain day difficult feel like vomiting time mild headache
Dengue,vomit frequently lose appetite result rash skin eye pain sleep properly
Dengue,high fever severe headache fever accompany extreme body pain chill worried health know
Dengue,feel extremely tired fatigue energy fatigue severe struggle bed notice small red spot arm leg
Dengue,experience severe headache accompany pain eye feel tired fatigue work day worried health
Dengue,feel nauseous constant urge vomit accompany mild fever headache
Dengue,develop rash body itchy lose appetite feel tired day feel wrong body
Dengue,experience muscle pain headache muscle pain feel like constant ache bad try use affect muscle small red spot develop face neck arm
Dengue,hurt rash arm armpit eyeball hurt lot mild fever concerned health
Dengue,experience high fever chill night concern feel like eat arm leg pain lot strange pain behe eye physical activity
Dengue,result regular vomiting lose appetite muscle joint constantly hurt start fever worried sure
Dengue,experience severe fever accompany pain eye headache feel tired exhasuted work
Dengue,body pain lot feel like eat mild fever chill night red spot develop neck
Dengue,joint pain everyday feel like vomitte weak body pain able focus work feel like
Dengue,body pain feel extreme lose appetite develop rash arm face eye pain lot
Dengue,develop rash body experience high fever chill headache joint hurt strange pain eye
Dengue,feel nauseous constant urge vomit high fever chill night feel terrible feel lose appetite
Dengue,rash skin itch touch feel good joint pain day night mild fever chill sleep
Fungal infection,raise lump rash look red inflamed discoloured area skin different colour rest skin itch skin
Fungal infection,body severe itching follow red bumpy rash skin darkened spot tiny nodular breakout happen day bad
Fungal infection,rash skin look like dischromic patch lot nodular eruption bad itching previous week bad
Fungal infection,rash away bothersome itching skin addition colordifferent area bump resemble knot lump skin
Fungal infection,rash body stop scratching skin itchy skin spot hue alter lump knotlike pimple
Fungal infection,recently skin itchy rash body skin spot hue alter lump knotlike pimple
Fungal infection,skin itch lot develop rash additionally area skin different hue rest additionally firm pimple breakout skin
Fungal infection,body itch like crazy red area additionally patch different tone natural skin skin lump pimple develop
Fungal infection,skin act recently extremely itchy rashesprone additionally certain spot deviate natural skin tone term hue skin lump bump
Fungal infection,arm leg lot red pimple itchy skin skin oddlooke lesion occasionally bump somewhat uncomfortable
Fungal infection,itchy skin lot red bump arm leg weird look spot skin bump feel kind hard
Fungal infection,doctor itchy rash skin weird spot different color bump skin look like little knot
Fungal infection,doctor skin cover uncomfortable rash odd patch different hue skin pimple resemble little knot
Fungal infection,lot itchy spot skin turn red bumpy weird patch different color rest skin weird bump look like little ball
Fungal infection,skin frequently develop itchy bump occasionally turn red rough aside skin occasionally develop strange pimple resemble small ball odd spot different hue rest skin
Fungal infection,doctor red rash pop skin continuously itch addition observe odd colordifferent spot skin little nodule skin appear expand
Fungal infection,experience intense itch body redness bump skin weird patch different color rest skin nodule look like small bump
Fungal infection,body scratch skin red develop pimple additionally occasionally nodule resemble little pimple strange patch different hue rest skin
Fungal infection,experience lot itch accompany rash appear grow bad time certain area skin different colour rest spot lump resemble little node
Fungal infection,lot problem itching accompany rash bad time patch skin different color rest notice bump look like little node
Fungal infection,doctor skin cover uncomfortable rash odd patch skin different colour pimple skin resemble little knot
Fungal infection,itch lot accompany rash look bad time patch skin different colour rest skin lump resemble little node
Fungal infection,skin act lately exceedingly itchy prone rash furthermore patch differ normal skin tone term colour lump bump skin
Fungal infection,rash appear develop skin accompany recent bout intense itching discomfort skin dischromic spot little lump appear
Fungal infection,skin itch occasionally rough red addition occasionally little pimple resemble tiny ball certain spot different colour rest skin severely irritate itch
Fungal infection,lot itch skin red bumpy patch different color rest skin little bump look like little ball annoying itchy
Fungal infection,pretty irritating itch body skin red bumpy area pimple resemble small ball spot different colour rest skin
Fungal infection,pretty uncomfortable itch body red bumpy area skin certain patch skin different hue rest pimple resemble little ball
Fungal infection,annoying itch body red bumpy spot skin area different color rest skin bump look like little ball
Fungal infection,pretty uncomfortable itch body red bumpy area skin certain patch epidermis distinct shade rest pimple resemble little ball
Fungal infection,itchy lately rashy spot skin area look different shade rest skin bump kind hard
Fungal infection,itchy recently rashy patch skin certain region dark colour rest skin firm lump
Fungal infection,itchy recently rashy blotch skin certain region dark color rest skin painful lump
Fungal infection,recently scratch lot skin cover rashy place additionally pimple firm certain spot body different shade brown rest skin
Fungal infection,skin itchy rashy spot patch look different color rest skin bump kind hard
Fungal infection,skin scratchy rash body bump firm area dark shade rest skin extremely unpleasant
Fungal infection,rashy area skin irritating additionally bump fairly firm patch different colour rest skin
Fungal infection,recently scratch lot skin cover rashy place addition spot skin appear usual shade experience lump painful
Fungal infection,itchy lately rashy spot skin area look like normal color skin bump kind hard
Fungal infection,itchy recently rashy place body region appear typical hue skin experience firm lump
Fungal infection,itch rashy patch skin recently region appear regular tone skin experience painful bump
Fungal infection,recently itch lot skin cover rashy patch furthermore region skin appear usual tone experience lump exceptionally painful
Fungal infection,constant itch red bumpy spot skin patch different color rest skin bump kind like little lump
Fungal infection,red bumpy area skin scratch nonstop additionally bump resemble little lump spot different shade skin rest body
Fungal infection,lot itch skin occasionally turn rash odd patch skin different hue rest occasionally little pimple resemble nodule
Fungal infection,tendency itch skin frequently turn rash strange patch skin different tone rest skin regularly little lump mimic nodule
Fungal infection,experience lot itch skin turn rash strange patch skin different color rest little bump look like nodule
Fungal infection,body itch terribly red spot patch differ tone natural complexion lump pimple appear skin
Fungal infection,skin itchy lately occasionally erupt rash addition odd area skin different coloration rest occasionally develop little bump look like nodule
Fungal infection,red blotch body itch horribly patch differ complexion natural skin lump bump develop skin
Common Cold,stop sneezing nose runny cold tired time cough lot fever high like way normal
Common Cold,nose extremely runny stop sneeze addition constantly feel cold exhausted cough lot fever high far normal
Common Cold,sneeze nonstop shake chill feel weak tired cough away fever high
Common Cold,sneeze incessantly chill away feel weak exhausted cough stop temperature high
Common Cold,constantly sneeze body shake cold tired barely head kill fever roof
Common Cold,constantly sneeze cold body tremble exhausted hardly head hurt fever high
Common Cold,exhausted ill sneeze nonstop cold head throb lack energy additionally high fever feel like fire
Common Cold,feel tired sick sneeze lot warm tired head kill fever high like boil
Common Cold,exhausted ill throat painful fairly nasty cough lot chill pretty high temperature feel extremely run weak
Common Cold,exhausted ill sneeze lot trouble warm exhausted head hurt feel like boil high temperature
Common Cold,stop sneezing feel tired crummy throat sore lot gunky stuff nose throat neck feel swollen puffy
Common Cold,stop sneezing exhausted sick throat uncomfortable lot junk nose throat neck swollen puffy
Common Cold,sneezing miserable exhausted lot gunky thing nose throat throat hurt neck feel puffy swollen
Common Cold,feel exhausted sick stomach bad cough throat hurt lot experience substantial sinus pressure congested nose unpleasant wear
Common Cold,sneeze lot feel tired sick lot gross stuff come nose throat feel scratchy neck feel swell
Common Cold,wheeze lot generally feel sick exhaust throat feel scratchy lot gross stuff flow nose neck feel bloat
Common Cold,sinus feel incredibly congested eye continuously red constantly feel drain exhaust addition lot uncomfortable phlegm throat lymph node feel bloat breathing challenge
Common Cold,eye red sinus feel congested energy throat itchy notice lymph node swollen cough lot phlegm
Common Cold,sinus feel stuffy eye red simply lack energy throat scratchy swelling lymph node cough lot phlegm
Common Cold,eye red itchy nose feel stuffy congested feel kind sick tire time cough gunk throat feel sore scratchy notice bump neck big usual
Common Cold,nose feel stuffy congested eye red itch feeling unwell fatigue hack gunk scratchy irritated throat neck bump large usual
Common Cold,sneeze eye quit drip incredibly difficult breathe feel like trap throat feel exhausted lately lot phlegm lymph node enlarged
Common Cold,eye red watery time pressure sinus away feel tired lot trouble breathing lot gunk throat lymph node swollen
Common Cold,eye constantly red runny persistent tightness sinus bother lot difficulty breathing constantly feel fatigue addition lot throat mucus inflamed lymph node
Common Cold,nose feel clog eye constantly red runny addition chest hurt lot breathing problem addition muscle feel painful smell
Common Cold,eye usually red runny nose stuffy difficulty breathing chest hurt addition smell muscle painful
Common Cold,eye usually red inflamed impression clog sinus cough lot gunk chest hurt smell muscle aching
Common Cold,eye red swollen feel like block sinus cough lot goo chest feel heavy smell muscle sore
Common Cold,cough lot feel chilly shivery nose clog experience facial pressure lot phlegm coughing pain chest smell muscle aching
Common Cold,day nasty cough cold sinus clog facial pressure create phlegm coughing pain chest smell muscle aching
Common Cold,nasty cough cold day sinus congested facial pressure cough mucus pain chest smell muscle aching
Common Cold,cough cold awful day sinus congested face strain additionally cough phlegm hurt chest sense smell muscle hurt lot
Common Cold,cough nonstop shiver terribly stuffy nose face strain addition throat cough nasty gunk chest hurt muscle hurt lot smell
